"","Gene_name","log2FoldChange","padj"
"ENSG00000006704","ENSG00000006704",3.5722575550614,5.01139741679875e-05
"ENSG00000007372","ENSG00000007372",-7.52362856543125,0.0228743723450155
"ENSG00000009950","ENSG00000009950",-4.53991385547296,3.47446534704494e-06
"ENSG00000018869","ENSG00000018869",4.42675665415059,0.0273200572992441
"ENSG00000025156","ENSG00000025156",-3.03194676547012,1.02546958292439e-06
"ENSG00000025434","ENSG00000025434",4.78279622399514,7.58805333597544e-13
"ENSG00000030419","ENSG00000030419",6.13003194827595,3.29116417822293e-06
"ENSG00000050344","ENSG00000050344",3.71156978019123,5.37531159416834e-07
"ENSG00000059728","ENSG00000059728",-3.73692034801232,1.28376866886706e-09
"ENSG00000062370","ENSG00000062370",4.14854528804964,0.00198432700100077
"ENSG00000067082","ENSG00000067082",-2.77666212873173,1.46133738684305e-08
"ENSG00000070444","ENSG00000070444",-3.50443166618916,1.1323446464883e-13
"ENSG00000075426","ENSG00000075426",-4.3724215429004,4.40845992947772e-19
"ENSG00000076108","ENSG00000076108",-1.66484441787276,0.00108385394605373
"ENSG00000077150","ENSG00000077150",-3.62141085536822,4.53174355973278e-20
"ENSG00000079432","ENSG00000079432",-1.66778700419851,0.014224312125255
"ENSG00000081386","ENSG00000081386",2.49619792442002,0.00378876920905609
"ENSG00000091831","ENSG00000091831",3.76151796364762,0.00133698497274743
"ENSG00000095574","ENSG00000095574",-2.75529400280116,1.63753588077136e-05
"ENSG00000100644","ENSG00000100644",-5.17379398213641,1.07514914804188e-37
"ENSG00000101057","ENSG00000101057",5.7276453608651,1.68145236675158e-30
"ENSG00000101076","ENSG00000101076",-7.5877839539095,0.000733837628913869
"ENSG00000101216","ENSG00000101216",-2.08565815735371,0.000461761263887987
"ENSG00000102034","ENSG00000102034",-2.87547932163803,3.20562911402163e-14
"ENSG00000102554","ENSG00000102554",-3.6665752493731,0.00225243817383341
"ENSG00000102908","ENSG00000102908",-2.26484944754652,1.80485623269514e-05
"ENSG00000104856","ENSG00000104856",-3.6620901633212,4.7671859120374e-23
"ENSG00000105392","ENSG00000105392",-3.89679517132597,1.12430984789527e-08
"ENSG00000105656","ENSG00000105656",-3.93733811317688,4.88146619864575e-17
"ENSG00000105722","ENSG00000105722",-2.68105245623953,1.4560956470574e-06
"ENSG00000106004","ENSG00000106004",-6.56195803819905,8.29655300389988e-05
"ENSG00000106546","ENSG00000106546",-3.83821957922233,3.27168402680235e-21
"ENSG00000109381","ENSG00000109381",-1.93003180300213,0.000975406184563118
"ENSG00000109787","ENSG00000109787",-3.03400824017965,2.21817866271318e-17
"ENSG00000109906","ENSG00000109906",-5.55077538764968,5.07058711861722e-10
"ENSG00000113916","ENSG00000113916",-2.27083314581964,0.00345803582192979
"ENSG00000114315","ENSG00000114315",-12.5410951246902,3.63009255305812e-05
"ENSG00000116604","ENSG00000116604",-3.73960567115129,4.19862934577696e-19
"ENSG00000116809","ENSG00000116809",-3.19370518134447,1.48858570959821e-08
"ENSG00000117036","ENSG00000117036",-2.82663596787487,7.51825530123504e-13
"ENSG00000118689","ENSG00000118689",-3.2481473339181,2.03401268896322e-16
"ENSG00000119547","ENSG00000119547",-8.02742465047013,0.0304953332462929
"ENSG00000119772","ENSG00000119772",2.21845216093524,1.5132284067518e-06
"ENSG00000120690","ENSG00000120690",-1.96960993626338,2.92599563889249e-07
"ENSG00000120738","ENSG00000120738",-5.12459865447008,1.02728048575085e-05
"ENSG00000120784","ENSG00000120784",3.96968540860275,0.000232088735595545
"ENSG00000121454","ENSG00000121454",-8.1603385721257,0.000213345630118557
"ENSG00000123095","ENSG00000123095",8.53495617153601,1.32799686030061e-16
"ENSG00000123358","ENSG00000123358",-7.21806061230332,1.06065215812209e-05
"ENSG00000124766","ENSG00000124766",-2.21201552443737,0.0068101371899701
"ENSG00000125347","ENSG00000125347",-5.46436785757361,6.38367098625541e-28
"ENSG00000125740","ENSG00000125740",-11.1267160858259,1.33478466418635e-13
"ENSG00000125812","ENSG00000125812",-4.58359057652025,0.00158525447237026
"ENSG00000126003","ENSG00000126003",-2.21821449219725,4.27464399523485e-05
"ENSG00000126351","ENSG00000126351",-1.98075145317103,0.00551636094364492
"ENSG00000126368","ENSG00000126368",-4.99134403019567,7.64332920029523e-23
"ENSG00000127528","ENSG00000127528",-4.82486274665064,2.7969781761048e-10
"ENSG00000128272","ENSG00000128272",-2.20472103004508,7.90105462773388e-06
"ENSG00000129173","ENSG00000129173",5.80103307421267,8.3232276194342e-07
"ENSG00000130522","ENSG00000130522",-2.3231268096253,0.000604638405812833
"ENSG00000131408","ENSG00000131408",-2.02514296031319,7.34392650053177e-05
"ENSG00000131759","ENSG00000131759",-1.84026205438918,0.0388201845054458
"ENSG00000131849","ENSG00000131849",4.49572161948587,0.00195696532416462
"ENSG00000132475","ENSG00000132475",-3.40308333992252,1.09342431011376e-06
"ENSG00000132510","ENSG00000132510",-4.18697008785686,2.99158795413218e-28
"ENSG00000136826","ENSG00000136826",-2.82032847471468,0.00293318992401731
"ENSG00000137166","ENSG00000137166",-2.24336599230634,0.0154815561405345
"ENSG00000140044","ENSG00000140044",-3.76571095388846,2.1690152709767e-21
"ENSG00000140455","ENSG00000140455",-2.57511559737631,9.37290263502807e-09
"ENSG00000140853","ENSG00000140853",-2.30451811911077,1.88240684904196e-05
"ENSG00000142409","ENSG00000142409",-2.46797284614747,1.83349218911902e-05
"ENSG00000143257","ENSG00000143257",-6.27279473278303,0.00561719543378315
"ENSG00000144655","ENSG00000144655",-6.40640966464973,8.16985229817685e-33
"ENSG00000144802","ENSG00000144802",-3.57543236893283,4.13438826395267e-07
"ENSG00000147050","ENSG00000147050",-2.36390980045374,8.0896053795224e-05
"ENSG00000150907","ENSG00000150907",-3.53974987524088,7.63054191257788e-07
"ENSG00000153234","ENSG00000153234",-7.72827923152357,1.8352351705387e-12
"ENSG00000155090","ENSG00000155090",-3.85781226759259,3.76553573186062e-24
"ENSG00000156273","ENSG00000156273",-2.15785653502805,0.00757543210841964
"ENSG00000160908","ENSG00000160908",-2.95306870916157,1.18289953223031e-18
"ENSG00000161298","ENSG00000161298",3.04996536075769,0.00206889540512407
"ENSG00000161405","ENSG00000161405",-4.29148513673794,6.44247311369006e-06
"ENSG00000162702","ENSG00000162702",-2.65820191991999,2.96550042809625e-08
"ENSG00000162711","ENSG00000162711",-4.99886632331991,1.44372338470354e-46
"ENSG00000162772","ENSG00000162772",-3.31035353168239,0.0131459219384969
